Bvets Motor Noise Table 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Run
#,,740,740,740,740,716,716,716,716,,,,989.6,1456.2,2520.5,,,,,,,,,,,,,,,
#,,,,,,,,,1433,1397,,,,,248.4,350.5,401.5,359,433,540,639,674.5,467,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,192.6,,,,,,,,230
0,1,1,1,1,1,1.033519553,1.033519553,1.033519553,1.033519553,,,,0,0,0,0,0,0,0,0,0,0,0,,,,1.033519553,1.033519553,1.033519553,
16,,1,1,1,1,1.033519553,1.033519553,1.033519553,1.033519553,,,,,,,,,,,,,,,,,,1.033519553,1.033519553,1.033519553,
33,,0.91,0.91,0.91,0.91,0.940502793,0.940502793,0.940502793,0.940502793,,,,,,,,,,,,,,,,,,0.940502793,0.940502793,0.940502793,
40,,2.3,2.3,2.3,2.3,2.377094972,2.377094972,2.377094972,2.377094972,,,,,,,,,,,,,,,,,,2.377094972,2.377094972,2.377094972,
90,1,1,1,1,1,,,,,,,,8.259027856,5.612645218,3.242663744,2.298081809,2.006171043,2.243670401,1.860225575,1.491625322,1.260528441,1.194184839,1.724791593,,,,,,,
#,,,,,,,,,,,,,10.8971663,16.03521985,27.75495923,39.16309666,44.86157863,40.11284365,48.38122925,60.33686789,71.398627,75.36521739,52.18021723,,,,,,,
